Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Meaning,Example Sentence Sound
実績,じっせき,sound/実績.ogg,image/実績.jpg,"Thành tích, thực tích",その新米のセールスマンが、トップの販売実績をあげたやり方は指導員の目を見はらせた。,The manner in which the new salesman made top sales level was an eye-opener to his supervisor.,sound/その新米のセールスマンが、トップの販売実績をあげたやり方は指導員の目を見はらせた.ogg
人柄,ひとがら,sound/人柄.ogg,,Nhân cách,彼女は魅力的な人柄である。,She has a magnetic personality.,sound/彼女は魅力的な人柄である.ogg
於いて,おいて,sound/於いて.ogg,image/於いて.jpg,"Ngoài ra, loại trừ ra",,,
ドーピング,ドーピング,sound/ドーピング.ogg,image/ドーピング.jpg,Dùng thuốc kích thích (trong thi đấu thể thao),,,
出場,しゅつじょう,sound/出場.ogg,image/出場.jpg,"Ra trận, ra thi đấu",２０チームがトーナメントに出場した。,Twenty teams entered the tournament.,sound/２０チームがトーナメントに出場した.ogg
封鎖,ふうさ,sound/封鎖.ogg,image/封鎖.jpg,Phong tỏa,この港は封鎖されうる。,The harbor can be blocked.,sound/この港は封鎖されうる.ogg
被災,ひさい,sound/被災.ogg,image/被災.jpg,"Bị thiên tai, bị tai họa",,,
無実,むじつ,sound/無実.ogg,image/無実.jpg,Vô tội,私たちは彼が無実であると信じていた。,We believed him to be innocent.,sound/私たちは彼が無実であると信じていた.ogg
捜査,そうさ,sound/捜査.ogg,image/捜査.jpg,Điều tra,警察は事件の捜査をした。,The police looked into that incident.,sound/警察は事件の捜査をした.ogg
認める,みとめる,sound/認める.ogg,image/認める.jpg,"Công nhận, chấp nhận",我々は彼の才能を認めている。,We appreciate his talent.,sound/我々は彼の才能を認めている.ogg
失格,しっかく,sound/失格.ogg,,Mất tư cách,彼女は２度のフライングで失格した。,She was disqualified from the race for two false starts.,sound/彼女は２度のフライングで失格した.ogg
下地,したじ,sound/下地.ogg,image/下地.jpg,"Nền tảng, cơ sở hạ tầng",,,
国籍,こくせき,sound/国籍.ogg,image/国籍.jpg,Quốc tịch,我々の真の国籍は人類である。,Our true nationality is mankind.,sound/我々の真の国籍は人類である.ogg
有権者,ゆうけんしゃ,sound/有権者.ogg,image/有権者.jpg,"Người có quyền, cử tri",その有権者はメアリー・ジョンソンさんで、民主党員であることが後になってわかりました。,"That voter, Mary Johnson, turned out to be a Democrat.",sound/その有権者はメアリー・ジョンソンさんで、民主党員であることが後になってわかりました.ogg
合唱,がっしょう,sound/合唱.ogg,image/合唱.jpg,Hợp xướng,パーティーは合唱で終わった。,The party ended up with a chorus.,sound/パーティーは合唱で終わった.ogg
空き巣,あきす,sound/空き巣.ogg,image/空き巣.jpg,Ăn trộm lúc vắng nhà,空巣にやられた。,Our house was robbed while we were away.,sound/空巣にやられた.ogg
防犯,ぼうはん,sound/防犯.ogg,image/防犯.jpg,Phòng ngừa tội phạm,,,
パトロール,パトロール,sound/パトロール.ogg,image/パトロール.jpg,Xe cảnh sát đi tuần,１０人の警官がその地域のパトロールについた。,Ten policemen were assigned to patrol that area.,sound/１０人の警官がその地域のパトロールについた.ogg
如何,いかが,sound/如何.ogg,image/如何.jpg,Tùy thuộc vào,コンタクトを入れるというのはいかがでしょう？,How about wearing contact lenses?,sound/コンタクトを入れるというのはいかがでしょう？.ogg
いかにも,いかにも,sound/いかにも.ogg,,… gì đi nữa thì cũng…,こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ。,"I look for all the world like an athlete in this outfit, but the truth is I don't do any sports at all.",sound/こんな格好をしているといかにもスポーツしてそうに見えるけど、全然やってないんだよ.ogg
あやふや,あやふや,sound/あやふや.ogg,,"mơ hồ, không rõ ràng, không chắc chắn",あやふやな手つきで一枚の紙を動かした。,She fumbled with a piece of paper.,sound/あやふやな手つきで一枚の紙を動かした.ogg
提携,ていけい,sound/提携.ogg,image/提携.jpg,"Liên kết, hợp tác",うちの会社はあの合弁会社と提携している。,We are affiliated with the new joint venture company.,sound/うちの会社はあの合弁会社と提携している.ogg
医療,いりょう,sound/医療.ogg,image/医療.jpg,"Y học, y dược",彼は医療に一生を捧げた。,He dedicated his life to medical work.,sound/彼は医療に一生を捧げた.ogg
事情,じじょう,sound/事情.ogg,image/事情.jpg,Sự tình,そこに行くかもしれないが、それは事情次第だ。,"I may go there, but that depends.",sound/そこに行くかもしれないが、それは事情次第だ.ogg
器,うつわ,sound/器.ogg,image/器.jpg,Cái chén đựng,いくら器だけを日本一にしても、中身が三流やったらな～んの意味もないんちゃうの？,"The container may be the best in Japan, but if the contents are third class, then isn't it completely meaningless?",sound/いくら器だけを日本一にしても、中身が三流やったらな～んの意味もないんちゃうの？.ogg
押し切る,おしきる,sound/押し切る.ogg,,Vượt lên đến cùng,,,
押し込む,おしこむ,sound/押し込む.ogg,image/押し込む.jpg,"Dồn, đẩy (đến đường cùng)",ピストルを持った男が彼をせきたてて車に押し込んだ。,A man with a gun urged him into the car.,sound/ピストルを持った男が彼をせきたてて車に押し込んだ.ogg
追い込む,おいこむ,sound/追い込む.ogg,,Đuổi (đến đường cùng),僕は追い込まれると一番仕事をする。,I work best under pressure.,sound/僕は追い込まれると一番仕事をする.ogg
華やか,はなやか,sound/華やか.ogg,image/華やか.jpg,"Hoa hòe, sặc sỡ, rực rỡ",ショービジネスというのは本当に華やかだ。,Show business is really glamorous.,sound/ショービジネスというのは本当に華やかだ.ogg
上回る,うわまわる,sound/上回る.ogg,,Tăng lên cao hơn (nói về số liệu),所得税は控除額を上回るいかなる所得にもかかる。,An income tax is levied on any income that exceeds deductions.,sound/所得税は控除額を上回るいかなる所得にもかかる.ogg
下回る,したまわる,sound/下回る.ogg,,Giảm xuống thấp hơn (nói về số liệu),日本の１９９８年末の金・外貨準備高は６８９億ドルで、１年前の７７０億ドルを下回った。,"Japan's gold and foreign exchange reserves stood at $68.9 billion at the end of 1998, down from $77.0 billion a year earlier.",sound/日本の１９９８年末の金・外貨準備高は６８９億ドルで、１年前の７７０億ドルを下回った.ogg
背景,はいけい,sound/背景.ogg,image/背景.jpg,"Hậu cảnh, cảnh nền",彼は経済的背景がしっかりしている。,His economical backing is secure.,sound/彼は経済的背景がしっかりしている.ogg
特許,とっきょ,sound/特許.ogg,image/特許.jpg,"Đặc phép, giấy phép đặc biệt",,,
揉める,もめる,sound/揉める.ogg,,"Cãi nhau, giằng co nhau",彼らは財産分けのことでもめている。,They are arguing about their share of the property.,sound/彼らは財産分けのことでもめている.ogg
総理大臣,そうりだいじん,sound/総理大臣.ogg,image/総理大臣.jpg,Thủ tướng,総理大臣が辞任した。,The Prime Minister has resigned.,sound/総理大臣が辞任した.ogg
象徴,しょうちょう,sound/象徴.ogg,image/象徴.jpg,Tượng trưng,オリーブの枝は平和を象徴している。,An olive branch symbolizes peace.,sound/オリーブの枝は平和を象徴している.ogg
吹雪,ふぶき,sound/吹雪.ogg,image/吹雪.jpg,Bão tuyết,吹雪はまる一週間荒れ狂った。,The snowstorm raged for a full week.,sound/吹雪はまる一週間荒れ狂った.ogg
儚い,はかない,sound/儚い.ogg,image/儚い.jpg,"Hão huyền, rỗng tuyệt",人生は儚いよ、と人は言う。,People say that life is short.,sound/人生は儚いよ、と人は言う.ogg
魅了,みりょう,sound/魅了.ogg,image/魅了.jpg,"Quyến rũ, hấp dẫn",一目で彼女に魅了された。,She attracted me at first sight.,sound/一目で彼女に魅了された.ogg
由縁,ゆえん,sound/由縁.ogg,,"Cơ duyên, nguyên do, duyên cớ",,,
語源,ごげん,sound/語源.ogg,image/語源.jpg,Nguồn gốc của ngôn ngữ,これらの語は同じ語源から出ている。,These words are derived from the same root.,sound/これらの語は同じ語源から出ている.ogg
俳句,はいく,sound/俳句.ogg,image/俳句.jpg,Thơ haiku,これは芭蕉の非常に有名な俳句です。,This is a very famous haiku by Basho.,sound/これは芭蕉の非常に有名な俳句です.ogg
散る,ちる,sound/散る.ogg,image/散る.jpg,"Rơi rụng, rải rác",あなたが帰国なさる頃には、桜はみんな散ってしまっていることでしょう。,"By the time you get home, all the cherry blossoms will have fallen.",sound/あなたが帰国なさる頃には、桜はみんな散ってしまっていることでしょう.ogg
心酔,しんすい,sound/心酔.ogg,image/心酔.jpg,"Say mê, mê muội",学生たちは彼に心酔していた。,His students adored him.,sound/学生たちは彼に心酔していた.ogg
間柄,あいだがら,sound/間柄.ogg,,Mối quan hệ,君と彼とはどういう間柄なのだ。,What's your relation with him?,sound/君と彼とはどういう間柄なのだ.ogg
固有,こゆう,sound/固有.ogg,image/固有.jpg,"Sở hữu riêng, cá hữu",羽は鳥に固有のものだ。,Feathers are peculiar to birds.,sound/羽は鳥に固有のものだ.ogg
従来,じゅうらい,sound/従来.ogg,image/従来.jpg,Kiểu cũ,彼は従来の習慣と違ったことをした。,He departed from the old custom.,sound/彼は従来の習慣と違ったことをした.ogg
所持,しょじ,sound/所持.ogg,image/所持.jpg,Nắm giữ,海外へ行くのならパスポートの所持が必要です。,"If you are going abroad, it's necessary to have a passport.",sound/海外へ行くのならパスポートの所持が必要です.ogg
騒がしい,さわがしい,sound/騒がしい.ogg,image/騒がしい.jpg,Ồn ào,よく騒がしい部屋で働いたものだった。,I used to work in a noisy room.,sound/よく騒がしい部屋で働いたものだった.ogg
ずらっと,ずらっと,sound/ずらっと.ogg,,"(xếp, nằm) la liệt",,,
ずばり,ズバリ,sound/ずばり.ogg,image/ずばり.jpg,"(Cắt) bén ngót, (lời nói) sắc bén",その問題についての彼の意見はずばり的を射ている。,His remarks on the subject are much to the point.,sound/その問題についての彼の意見はずばり的を射ている.ogg
切実,せつじつ,sound/切実.ogg,image/切実.jpg,"Cấp bách, khẩn cấp",太っているのが私の切実な問題です。,Being fat is a serious problem for me.,sound/太っているのが私の切実な問題です.ogg
束ねる,たばねる,sound/束ねる.ogg,,Bó buộc,彼は、まきを束ねた。,He set up a bundle of firewood.,sound/彼は、まきを束ねた.ogg
保つ,たもつ,sound/保つ.ogg,image/保つ.jpg,Giữ gìn,体面を保つために行った。,"For appearances sake, I went.",sound/体面を保つために行った.ogg
多様,たよう,sound/多様.ogg,image/多様.jpg,Đa dạng,ここでは多様な民族的・経済的利害関係がみられる。,We find diverse ethnic and economic interests here.,sound/ここでは多様な民族的・経済的利害関係がみられる.ogg
つくづく,つくづく,sound/つくづく.ogg,,Một cách thận trọng,彼は、自分の不幸をつくづく考えた。,He brooded over his misfortunes.,sound/彼は、自分の不幸をつくづく考えた.ogg
貫く,つらぬく,sound/貫く.ogg,,"Thâm nhập, thực hiện",大きな川がその市を貫いて流れている。,A broad river runs through the city.,sound/大きな川がその市を貫いて流れている.ogg
定義,ていぎ,sound/定義.ogg,image/定義.jpg,Định nghĩa,定義するのが難しい語もある。,Some words are hard to define.,sound/定義するのが難しい語もある.ogg
紛らわしい,まぎらわしい,sound/紛らわしい.ogg,image/紛らわしい.jpg,"Dễ lẫn lộn, dễ nhầm lẫn",,,
惨め,みじめ,sound/惨め.ogg,image/惨め.jpg,"Khủng khiếp, tàn khốc",彼は若い頃惨めな生活を送った。,He lived a wretched life when young.,sound/彼は若い頃惨めな生活を送った.ogg
夜更け,よふけ,sound/夜更け.ogg,,(suốt) đêm muộn,我々は夜更けまで語り合った。,We talked late into the night.,sound/我々は夜更けまで語り合った.ogg
夜更かし,よふかし,sound/夜更かし.ogg,image/夜更かし.jpg,"Thức khuya, thức đêm",そんなに夜ふかしをするべきではない。,You ought not to sit up so late.,sound/そんなに夜ふかしをするべきではない.ogg
据える,すえる,sound/据える.ogg,,"Đặt, xây dựng, thiết lập",中央には机が据えられていて、赤い革張りの回転椅子がそえてあった。,"A desk stood in the centre, with a red leather swivel chair.",sound/中央には机が据えられていて、赤い革張りの回転椅子がそえてあった.ogg
悩ましい,なやましい,sound/悩ましい.ogg,image/悩ましい.jpg,Lo âu,彼女は悩ましい目つきで僕を見た。,She looked at me seductively.,sound/彼女は悩ましい目つきで僕を見た.ogg
健やか,すこやか,sound/健やか.ogg,image/健やか.jpg,"Khỏe mạnh, cường tráng",お宮参りで訪れた大西幸治さん(40)、由希恵さん(34)夫妻は「子どもが健やかに育つことを祈りました」と話していた。,"The couple who came on a shrine visit, Kouji Oonishi (40) and his wife Yukie (34) said, ""We prayed that our child would grow up healthily.""",sound/お宮参りで訪れた大西幸治さん(40)、由希恵さん(34)夫妻は「子どもが健やかに育つことを祈りました」と話していた.ogg
ゆとり,ゆとり,sound/ゆとり.ogg,,"Thủng thỉnh, từ tốn",私には新車を買うゆとりは無い。,I can't afford to buy a new car.,sound/私には新車を買うゆとりは無い.ogg
余程,よほど,sound/余程.ogg,,Rất nhiều,彼はその話がよほど面白かったようだ。,It seems that he was very much amused by the story.,sound/彼はその話がよほど面白かったようだ.ogg
野心,やしん,sound/野心.ogg,image/野心.jpg,Dã tâm,彼は野心があるために熱心に働いた。,His ambition made him work hard.,sound/彼は野心があるために熱心に働いた.ogg
くすぐったい,くすぐったい,sound/くすぐったい.ogg,image/くすぐったい.jpg,Nhột,,,
もどかしい,もどかしい,sound/もどかしい.ogg,,Bứt rứt,,,
自主,じしゅ,sound/自主.ogg,,"Tự giác, tự chủ",,,
創業,そうぎょう,sound/創業.ogg,image/創業.jpg,"thành lập, khởi nghiệp",,,
知名度,ちめいど,sound/知名度.ogg,image/知名度.jpg,mức độ nổi danh,,,
折り入って,おりいって,sound/折り入って.ogg,,thật lòng là…,折り入って頼みたいことがある。,I want to ask you a big favor.,sound/折り入って頼みたいことがある.ogg
エレガンス,エレガンス,sound/エレガンス.ogg,image/エレガンス.jpg,"vẻ tao nhã, nét thanh lịch",,,
極まる,きわまる,sound/極まる.ogg,,"cực độ, tột cùng",下品極まる盛り場に通いつける。,He haunts the lowest resorts.,sound/下品極まる盛り場に通いつける.ogg
優美,ゆうび,sound/優美.ogg,image/優美.jpg,"tao nhã, ưu mỹ",大部分ではないにしても多くの人々が文学的趣味を優美なたしなみと見なしている。,"Many people, if not most, look on literary taste as an elegant accomplishment.",sound/大部分ではないにしても多くの人々が文学的趣味を優美なたしなみと見なしている.ogg
キャッチコピー,キャッチコピー,sound/キャッチコピー.ogg,image/キャッチコピー.jpg,"hiệu, khẩu hiệu quảng cáo",,,
曲線,きょくせん,sound/曲線.ogg,image/曲線.jpg,đường cong,,,
反響,はんきょう,sound/反響.ogg,image/反響.jpg,tiếng vang,その部屋に彼の声が反響した。,The room echoes with his voice.,sound/その部屋に彼の声が反響した.ogg
痛恨,つうこん,sound/痛恨.ogg,,thật sự đáng tiếc,,,
疲労,ひろう,sound/疲労.ogg,image/疲労.jpg,"mệt mỏi, mệt nhọc",疲労が彼の健康をむしばんでいる。,Fatigue is undermining his health.,sound/疲労が彼の健康をむしばんでいる.ogg
遺憾,いかん,sound/遺憾.ogg,image/遺憾.jpg,"đáng tiếc, hối tiếc",それは遺憾ながら本当だ。,"That, while regrettable, is true.",sound/それは遺憾ながら本当だ.ogg
物種,ものだね,sound/物種.ogg,,"khởi nguồn (của sự vật, sự việc)",命あっての物種。,"While there is life, there is hope.",sound/命あっての物種.ogg
赤面,せきめん,sound/赤面.ogg,image/赤面.jpg,đỏ mặt (vì xấu hổ),君の行いには赤面する。,I am ashamed of your conduct.,sound/君の行いには赤面する.ogg
呑気,のんき,sound/呑気.ogg,image/呑気.jpg,"vô lo, vô tư",お前は当事者じゃないから、そんなのんきなこと言ってられるんだよ。,You wouldn't be so casual about it if you were directly involved.,sound/お前は当事者じゃないから、そんなのんきなこと言ってられるんだよ.ogg
光栄,こうえい,sound/光栄.ogg,image/光栄.jpg,vinh dự,あなたにお会いできて光栄です。,It is a privilege to meet you.,sound/あなたにお会いできて光栄です.ogg
値する,あたいする,sound/値する.ogg,,"có giá trị, đáng giá",あの博物館はくるに値する。,That museum is worth visiting.,sound/あの博物館はくるに値する.ogg
汗顔,かんがん,sound/汗顔.ogg,image/汗顔.jpg,mặt đổ cả mồ hôi (vì xấu hổ),,,
鑑賞,かんしょう,sound/鑑賞.ogg,image/鑑賞.jpg,thưởng thức,よい音楽を鑑賞することはそれほど難しいことではない。,It is not so difficult to appreciate good music.,sound/よい音楽を鑑賞することはそれほど難しいことではない.ogg
傾聴,けいちょう,sound/傾聴.ogg,,lắng nghe,彼らは１語も聞きもらすまいと傾聴した。,They listened attentively so as not to miss a single word.,sound/彼らは１語も聞きもらすまいと傾聴した.ogg
念,ねん,sound/念.ogg,image/念.jpg,"niệm, tâm niệm",その光景を見て私は驚異の念にうたれた。,The sight struck me with wonder.,sound/その光景を見て私は驚異の念にうたれた.ogg
皮切り,かわきり,sound/皮切り.ogg,,"bắt đầu từ…, lấy (cái gì đó) làm đầu tiên",それを皮切りとして欧州の詩や文学を多数紹介するようになりました。,With that as a start many European poems and much literature came to be introduced.,sound/それを皮切りとして欧州の詩や文学を多数紹介するようになりました.ogg
学級委員,がっきゅういいん,sound/学級委員.ogg,,ủy viên của lớp,,,
エピソード,エピソード,sound/エピソード.ogg,image/エピソード.jpg,"chương, hồi (của tiểu thuyết, kịch v.v…)",その痛ましいエピソードは私には痛切に感じられた。,The touching episode came home to me.,sound/その痛ましいエピソードは私には痛切に感じられた.ogg
使い込む,つかいこむ,sound/使い込む.ogg,,"tham ô, chiếm đoạt (tiền của người khác)",彼は私の資金をすっかり使い込んでしまった。,He has really made a hole in my finances.,sound/彼は私の資金をすっかり使い込んでしまった.ogg
知事,ちじ,sound/知事.ogg,image/知事.jpg,"chủ tịch tỉnh, thống đốc",州知事は囚人達を自由の身にした。,The governor set the prisoners free.,sound/州知事は囚人達を自由の身にした.ogg
公費,こうひ,sound/公費.ogg,image/公費.jpg,tiền công vụ,,,
私費,しひ,sound/私費.ogg,image/私費.jpg,"tiền tư, tiền của cá nhân",,,
辟易,へきえき,sound/辟易.ogg,,"chùn bước lại, co rút người lại, lo lắng, băn khoăn",彼は人付き合いに辟易している。,He's fed up with socializing.,sound/彼は人付き合いに辟易している.ogg
繁盛,はんじょう,sound/繁盛.ogg,image/繁盛.jpg,(buôn bán) phát đạt,今あまり繁盛していません。,My business is slow right now.,sound/今あまり繁盛していません.ogg
改ざん,かいざん,sound/改ざん.ogg,image/改ざん.jpg,"làm giả, cải gian (giấy tờ)",私の同僚は報告書を改ざんした。,My colleague doctored the report.,sound/私の同僚は報告書を改ざんした.ogg
討論,とうろん,sound/討論.ogg,image/討論.jpg,tranh luận,私たちはとても活発な討論をした。,We had a very vigorous debate.,sound/私たちはとても活発な討論をした.ogg
顧客層,こかくそう,sound/顧客層.ogg,image/顧客層.jpg,lớp khách hàng,,,
トレンド,トレンド,sound/トレンド.ogg,image/トレンド.jpg,"xu hướng, khuynh hướng",ここでの問題は、社会のトレンドを概観できるような枠組みを創出することである。,The question here is one of creating the framework with which we can outline the social trend.,sound/ここでの問題は、社会のトレンドを概観できるような枠組みを創出することである.ogg
本性,ほんしょう,sound/本性.ogg,image/本性.jpg,bản tính,わずかの言葉が人の本性を表すことがある。,A few words may betray a man's true character.,sound/わずかの言葉が人の本性を表すことがある.ogg
設ける,もうける,sound/設ける.ogg,,thiết lập,イギリスは多くの植民地を設けた。,Britain established many colonies.,sound/イギリスは多くの植民地を設けた.ogg
正当,せいとう,sound/正当.ogg,image/正当.jpg,"chính đáng, công chính, ngay thẳng",先生は彼女に正当な取り扱いをしなかった。,The teacher didn't do her justice.,sound/先生は彼女に正当な取り扱いをしなかった.ogg
酷,こく,sound/酷.ogg,image/酷.jpg,"kinh khủng, tàn khốc",,,
徹夜,てつや,sound/徹夜.ogg,image/徹夜.jpg,"thức trắng đêm, thức thâu đêm",私はよく徹夜する。,I often stay up all night.,sound/私はよく徹夜する.ogg
