Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Meaning,Example Sentence Sound
戸棚,とだな,sound/戸棚.ogg,image/戸棚.jpg,"tủ (chén, quần áo)",この本は戸棚の上です。,This book goes on the top shelf.,sound/この本は戸棚の上です.ogg
ふらふら,ふらふら,sound/ふらふら.ogg,image/ふらふら.jpg,"lắc qua lắc lại, loạng choạng",ワインの飲みすぎでふらふらになった。,He was groggy from too much wine.,sound/ワインの飲みすぎでふらふらになった.ogg
無敵,むてき,sound/無敵.ogg,,vô địch,,,
証,あかし,sound/証.ogg,image/証.jpg,"bằng chứng, dấu hiệu",わたしたちは、知っていることを話し、見たことをあかししているのに、あなたがたは、わたしたちのあかしを受け入れません。,"We speak that we do know, and testify that we have seen; and ye receive not our witness.",sound/わたしたちは、知っていることを話し、見たことをあかししているのに、あなたがたは、わたしたちのあかしを受け入れません.ogg
当たり前,あたりまえ,sound/当たり前.ogg,image/当たり前.jpg,"đương nhiên, hiển nhiên",我々は彼が成功したのは当たり前だと思った。,We took his success for granted.,sound/我々は彼が成功したのは当たり前だと思った.ogg
他人,たにん,sound/他人.ogg,image/他人.jpg,"người ngoài, người dưng",彼女はもっと他人の言うことを聞くべきだ。,She should listen more to other people.,sound/彼女はもっと他人の言うことを聞くべきだ.ogg
ジャンル,ジャンル,sound/ジャンル.ogg,image/ジャンル.jpg,"chủng loại, thể loại",このジャンルの曲が好きです。,I like this kind of music.,sound/このジャンルの曲が好きです.ogg
種類,しゅるい,sound/種類.ogg,image/種類.jpg,"loại, thể loại",破壊の結果、毎日５０種類もの野生の動植物が消滅していると見積もられている。,"It has been estimated that, as a result of the destruction, fifty species of wildlife are disappearing from the earth each day.",sound/破壊の結果、毎日５０種類もの野生の動植物が消滅していると見積もられている.ogg
尊敬語,そんけいご,sound/尊敬語.ogg,image/尊敬語.jpg,từ kính ngữ,目上の人のすることについて話す時、尊敬語を使います。,"When speaking about your superiors' actions, you use respectful language.",sound/目上の人のすることについて話す時、尊敬語を使います.ogg
謙譲語,けんじょうご,sound/謙譲語.ogg,image/謙譲語.jpg,"từ khiêm tốn, khiêm nhường ngữ",,,
丁寧語,ていねいご,sound/丁寧語.ogg,image/丁寧語.jpg,từ lễ phép,ある意味では、丁寧語は気さくな雰囲気を壊す。,"Polite language, in a sense, spoils a casual atmosphere.",sound/ある意味では、丁寧語は気さくな雰囲気を壊す.ogg
瞬時,しゅんじ,sound/瞬時.ogg,image/瞬時.jpg,tức thời,コンピューターは、非常に複雑な仕事を瞬時にすることができる。,Computers are capable of doing very complicated work in a split second.,sound/コンピューターは、非常に複雑な仕事を瞬時にすることができる.ogg
切り替える,きりかえる,sound/切り替える.ogg,image/切り替える.jpg,"chuyển đổi, đổi qua cái khác",,,
誤用,ごよう,sound/誤用.ogg,image/誤用.jpg,dùng nhầm,その語は誤用されやすい。,The word lends itself to misuse by beginners.,sound/その語は誤用されやすい.ogg
便箋,びんせん,sound/便箋.ogg,image/便箋.jpg,giấy viết thư,その便せんには校章が打ち出しにされている。,The note is embossed with the school emblem.,sound/その便せんには校章が打ち出しにされている.ogg
綴る,つづる,sound/綴る.ogg,,(viết) nối liền,靜子が季節の移ろいを詩に綴りました。,Shizuko composed a poem about the change of the seasons.,sound/靜子が季節の移ろいを詩に綴りました.ogg
宿命,しゅくめい,sound/宿命.ogg,,"định mệnh, số phận",洪水はかつてはこの地方には宿命であった。,"Previously, floods were fate for the region.",sound/洪水はかつてはこの地方には宿命であった.ogg
仕様,しよう,sound/仕様.ogg,image/仕様.jpg,"phương cách, cách thức",仕様、価格は変更することがあります。,Specifications and price are subject to change.,sound/仕様、価格は変更することがあります.ogg
ぐっと,ぐっと,sound/ぐっと.ogg,image/ぐっと.jpg,dồn hết sức (để làm gì đó),明け方近くは、ぐっと冷え込む。,It gets extremely cold toward dawn.,sound/明け方近くは、ぐっと冷え込む.ogg
前提,ぜんてい,sound/前提.ogg,image/前提.jpg,tiền đề,私たちは結婚を前提として交際しています。,We are dating with a view to marriage.,sound/私たちは結婚を前提として交際しています.ogg
タイミング,タイミング,sound/タイミング.ogg,image/タイミング.jpg,"thời khắc, đúng lúc",その論文は教授の誕生日とタイミングが合うように出版された。,Publication of the article was timed to coincide with the professor's birthday.,sound/その論文は教授の誕生日とタイミングが合うように出版された.ogg
未だ,まだ,sound/未だ.ogg,,vẫn chưa,私はまだその問題が解けない。,I haven't been able to solve the problem yet.,sound/私はまだその問題が解けない.ogg
俯く,うつむく,sound/俯く.ogg,,cúi mặt,言ってから、まゆちゃんは恥ずかしそうに俯いてしまう。,"Having said it, Mayu hangs her head in embarrassment.",sound/言ってから、まゆちゃんは恥ずかしそうに俯いてしまう.ogg
ちょくちょく,ちょくちょく,sound/ちょくちょく.ogg,,"thỉnh thoảng, lặp đi lặp lại",だってお隣さんだし。ちょくちょくお邪魔するから。,"Well, we're neighbours. I'll be popping over all the time.",sound/だってお隣さんだしちょくちょくお邪魔するから.ogg
てんで,てんで,sound/てんで.ogg,image/てんで.jpg,"hoàn toàn, toàn bộ",てんで見当つきません。,I don't have the slightest idea.,sound/てんで見当つきません.ogg
同感,どうかん,sound/同感.ogg,image/同感.jpg,đồng cảm,全く同感です。,I agree completely.,sound/全く同感です.ogg
馴れ馴れしい,なれなれしい,sound/馴れ馴れしい.ogg,,"(thái độ) xuề xòa, quá thân thiết",彼は私の妻になれなれしすぎだ。,He is getting far too familiar with my wife.,sound/彼は私の妻になれなれしすぎだ.ogg
逃げ出す,にげだす,sound/逃げ出す.ogg,,bỏ chạy,その男は町から逃げ出した。,The man got away from the city.,sound/その男は町から逃げ出した.ogg
強請る,ねだる,sound/強請る.ogg,,"giành giật, chiếm đoạt (bằng cách cưỡng chế)",彼は父にねだってとうとう新車を買ってもらった。,He finally talked his father into buying a new car.,sound/彼は父にねだってとうとう新車を買ってもらった.ogg
待ち遠しい,まちどおしい,sound/待ち遠しい.ogg,,chờ đợi mỏi mòn,パーティーが待ち遠しくて仕方ない。,I just can't wait for the party.,sound/パーティーが待ち遠しくて仕方ない.ogg
密集,みっしゅう,sound/密集.ogg,image/密集.jpg,"đông đúc, chen chúc nhau",この森には野ブドウが密集して生えている。,There is a dense growth of vines in this forest.,sound/この森には野ブドウが密集して生えている.ogg
もはや,もはや,sound/もはや.ogg,,(cái gì đó) trôi qua nhanh,もはや言うことはない。,I have nothing further to say.,sound/もはや言うことはない.ogg
役場,やくば,sound/役場.ogg,image/役場.jpg,trụ sở,,,
屋敷,やしき,sound/屋敷.ogg,image/屋敷.jpg,khuôn viên ngôi nhà,彼はいなかの屋敷に住んでいる。,He lives on his country estate.,sound/彼はいなかの屋敷に住んでいる.ogg
気まずい,きまずい,sound/気まずい.ogg,image/気まずい.jpg,"khó xử, ngại",私は気まずい思いで体がほてった。,I was feverish with embarrassment.,sound/私は気まずい思いで体がほてった.ogg
対抗,たいこう,sound/対抗.ogg,image/対抗.jpg,"chống chọi, đối kháng",ためらうことなく、その陰謀にたいする徹底した対抗処置をとった。,"Without a moment's hesitation, they took drastic action against the conspiracy.",sound/ためらうことなく、その陰謀にたいする徹底した対抗処置をとった.ogg
取り次ぐ,とりつぐ,sound/取り次ぐ.ogg,,"truyền tải, hồi âm",,,
取り立てる,とりたてる,sound/取り立てる.ogg,,"thu hồi, lấy lại, đòi lại",王は人民から税を厳しく取り立てた。,The king exacted taxes from his people.,sound/王は人民から税を厳しく取り立てた.ogg
転ける,こける,sound/転ける.ogg,image/転ける.jpg,té ngã,,,
躓く,つまずく,sound/躓く.ogg,image/躓く.jpg,"vấp chân, trượt chân",私は石につまずいて、足首をひねってしまった。,"I tripped on a stone, twisting my ankle.",sound/私は石につまずいて、足首をひねってしまった.ogg
裁判長,さいばんちょう,sound/裁判長.ogg,,chủ tọa phiên tòa,裁判長は、２時間の休憩を告げた。,The judge called for a recess of two hours.,sound/裁判長は、２時間の休憩を告げた.ogg
懲役,ちょうえき,sound/懲役.ogg,image/懲役.jpg,đi tù,彼は懲役十年で、女房には三年の刑が下った。,He was given ten years and his wife three.,sound/彼は懲役十年で、女房には三年の刑が下った.ogg
無期,むき,sound/無期.ogg,image/無期.jpg,"tù chung thân, không kỳ hạn",,,
有期,ゆうき,sound/有期.ogg,image/有期.jpg,có kỳ hạn,,,
原告,げんこく,sound/原告.ogg,image/原告.jpg,nguyên cáo,裁判官は原告に不利な判決を下した。,The judge decided against the plaintiff.,sound/裁判官は原告に不利な判決を下した.ogg
被告,ひこく,sound/被告.ogg,image/被告.jpg,bị cáo,被告は無罪になった。,The accused was found not guilty.,sound/被告は無罪になった.ogg
微動,びどう,sound/微動.ogg,,"rung rinh, lắc nhẹ",,,
敗退,はいたい,sound/敗退.ogg,image/敗退.jpg,"thất bại, bại trận",ヒンギスが一回戦敗退の大番狂わせ。,It was a big upset when Hingis was eliminated in the first round.,sound/ヒンギスが一回戦敗退の大番狂わせ.ogg
壁紙,かべがみ,sound/壁紙.ogg,image/壁紙.jpg,giấy dán tường,デスクトップの壁紙を犬の写真にした。,I used a photo of my dog for my desktop wallpaper.,sound/デスクトップの壁紙を犬の写真にした.ogg
陶器,とうき,sound/陶器.ogg,image/陶器.jpg,đồ gốm sứ,陶器は火で焼かれた。,The pottery was baked by fire.,sound/陶器は火で焼かれた.ogg
矯める,ためる,sound/矯める.ogg,,"uốn cong, sửa lỗi",,,
眇める,すがめる,sound/眇める.ogg,,nheo mắt,,,
幼馴染み,おさななじみ,sound/幼馴染み.ogg,image/幼馴染み.jpg,bạn thời thơ ấu,幼馴染ってこわ・・・。,'Childhood friends' are scary.,sound/幼馴染ってこわ・・・.ogg
笹舟,ささぶね,sound/笹舟.ogg,image/笹舟.jpg,thuyền lá trúc (đồ chơi),,,
上流,じょうりゅう,sound/上流.ogg,image/上流.jpg,thượng lưu,橋の上流に私はボートを見た。,I saw a boat above the bridge.,sound/橋の上流に私はボートを見た.ogg
下流,かりゅう,sound/下流.ogg,image/下流.jpg,hạ lưu,まず、私の活動範囲は、おもに養老川下流域です。,"First off, my area of work is mainly in the lower reaches of the Yourou River.",sound/まず、私の活動範囲は、おもに養老川下流域です.ogg
デビュー,デビュー,sound/デビュー.ogg,image/デビュー.jpg,lần trình diễn đầu tiên,その女優のデビューは８歳の時でした。,The actress made her debut when she was eight.,sound/その女優のデビューは８歳の時でした.ogg
不祥事,ふしょうじ,sound/不祥事.ogg,,"chuyện bê bối, chuyện tai tiếng",相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている。,"Despite their own scandals, the police continue to make arrests as though nothing had happened at all.",sound/相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている.ogg
憚る,はばかる,sound/憚る.ogg,,"do dự, lưỡng lự",憎まれっ子世に憚る。,Ill weeds grow apace.,sound/憎まれっ子世に憚る.ogg
傑作,けっさく,sound/傑作.ogg,image/傑作.jpg,kiệt tác,わははは！そりゃ傑作だ！,A-ha-ha-ha! What a blunder!,sound/わははは！そりゃ傑作だ！.ogg
断言,だんげん,sound/断言.ogg,image/断言.jpg,"nói quả quyết, khẳng định",私は彼が潔白だと断言した。,I affirmed that he was innocent.,sound/私は彼が潔白だと断言した.ogg
探検,たんけん,sound/探検.ogg,image/探検.jpg,thám hiểm,この探検には、お金がかかる。,This expedition will be expensive.,sound/この探検には、お金がかかる.ogg
ばれる,バレル,sound/ばれる.ogg,image/ばれる.jpg,bị bại lộ,中東の石油価格は１バレル当たり５ドルほど跳ね上がりました。,Middle Eastern oil prices jumped by five dollars per barrel.,sound/中東の石油価格は１バレル当たり５ドルほど跳ね上がりました.ogg
観察,かんさつ,sound/観察.ogg,image/観察.jpg,quan sát,科学は観察に基づいている。,Science rests upon observation.,sound/科学は観察に基づいている.ogg
景品,けいひん,sound/景品.ogg,image/景品.jpg,quà tặng,その雑誌の購読予約をして景品をもらった。,I got a premium for subscribing to the magazine.,sound/その雑誌の購読予約をして景品をもらった.ogg
産休,さんきゅう,sound/産休.ogg,,nghỉ sinh,９月３０日から１０月１４日まで産休を取ります。,I'm taking maternity leave from Sep.30 to Oct.14.,sound/９月３０日から１０月１４日まで産休を取ります.ogg
代替,だいたい,sound/代替.ogg,image/代替.jpg,thay thế,切符を申し込まれる際は代替日もご指定ください。,"When applying for tickets, please give alternative dates.",sound/切符を申し込まれる際は代替日もご指定ください.ogg
衝突,しょうとつ,sound/衝突.ogg,image/衝突.jpg,"đâm vào, đụng vào",日米の利害がこの点で衝突した。,Japanese and American interests clashed on this point.,sound/日米の利害がこの点で衝突した.ogg
直進,ちょくしん,sound/直進.ogg,image/直進.jpg,"trực tiến, đi thẳng",,,
横転,おうてん,sound/横転.ogg,image/横転.jpg,"ngã lộn nhào, té lộn nhào",「ところでよ、そのおめーのおとうさんはどこにいんのさ？」「横転したトラックの下なんよ。」,"""By the way, where's your old man?"" ""Under that over-turned truck.""",sound/「ところでよ、そのおめーのおとうさんはどこにいんのさ？」「横転したトラックの下なんよ」.ogg
左折,させつ,sound/左折.ogg,image/左折.jpg,quẹo trái,自動車は左折した。,The car made a turn to the left.,sound/自動車は左折した.ogg
右折,うせつ,sound/右折.ogg,image/右折.jpg,quẹo phải,右折しなさい、そうすれば私の事務所が見つかります。,"Turn to the right, and you'll find my office.",sound/右折しなさい、そうすれば私の事務所が見つかります.ogg
パトカー,パトカー,sound/パトカー.ogg,image/パトカー.jpg,xe cảnh sát,パトカーを見て彼は逃げた。,He saw the police car and ran away.,sound/パトカーを見て彼は逃げた.ogg
打撲,だぼく,sound/打撲.ogg,,"ẩu đả, đánh nhau",,,
軽傷,けいしょう,sound/軽傷.ogg,image/軽傷.jpg,vết thương nhẹ,彼は交通事故で軽傷を負った。,He was slightly injured in a traffic accident.,sound/彼は交通事故で軽傷を負った.ogg
重体,じゅうたい,sound/重体.ogg,image/重体.jpg,"nghiêm trọng, bị thương nặng",その患者は重態だ。,The patient is in critical condition.,sound/その患者は重態だ.ogg
目撃,もくげき,sound/目撃.ogg,image/目撃.jpg,"mục thị, chứng kiến",彼らはこの事件を目撃したことを報告した。,They reported seeing the incident.,sound/彼らはこの事件を目撃したことを報告した.ogg
細部,さいぶ,sound/細部.ogg,image/細部.jpg,phần chi tiết,今後どんな細部にも注意を払いなさいよ。,You must pay attention to every minute detail from now on.,sound/今後どんな細部にも注意を払いなさいよ.ogg
刃物,はもの,sound/刃物.ogg,,"đồ nhọn sắc bén, dao",そのように刃物を振り回すことは危険だ。,It is dangerous to wield an edged tool in such a way.,sound/そのように刃物を振り回すことは危険だ.ogg
押し入る,おしいる,sound/押し入る.ogg,image/押し入る.jpg,"đút vào, ấn vào",賊が彼の家に押し入った。,Burglars broke into his house.,sound/賊が彼の家に押し入った.ogg
脅す,おどす,sound/脅す.ogg,image/脅す.jpg,đe dọa,彼はそれを公表すると脅した。,He threatened to make it public.,sound/彼はそれを公表すると脅した.ogg
犯行,はんこう,sound/犯行.ogg,image/犯行.jpg,hành vi phạm tội,彼は犯行に及んだと信じられていた。,He was believed to have committed the crime.,sound/彼は犯行に及んだと信じられていた.ogg
駆けつける,かけつける,sound/駆けつける.ogg,,"chạy nhào tới, chạy nhanh tới",彼女は急いで彼の病床へ駆けつけた。,She came hurrying to his bedside.,sound/彼女は急いで彼の病床へ駆けつけた.ogg
スリル,スリル,sound/スリル.ogg,image/スリル.jpg,"run sợ, kinh sợ, kinh hoàng",とてもスリルがあって面白かったです。,It was so thrilling and real fun.,sound/とてもスリルがあって面白かったです.ogg
取り押さえる,とりおさえる,sound/取り押さえる.ogg,,"tóm được, túm bắt",警官はその泥棒を取り押さえた。,The policeman caught the thief.,sound/警官はその泥棒を取り押さえた.ogg
供述,きょうじゅつ,sound/供述.ogg,,khai (sự thật),彼の供述の真実性は疑わしいと思う。,I doubt the veracity of his statement.,sound/彼の供述の真実性は疑わしいと思う.ogg
仰ぐ,あおぐ,sound/仰ぐ.ogg,image/仰ぐ.jpg,"ngước lên, ngước nhìn",彼は天を仰いだ。,He looked up at the sky.,sound/彼は天を仰いだ.ogg
円ら,つぶら,sound/円ら.ogg,image/円ら.jpg,tròn xoe,,,
手際,てぎわ,sound/手際.ogg,,"kỹ năng, tay nghề",,,
時折,ときおり,sound/時折.ogg,image/時折.jpg,thỉnh thoảng,私は時おり学校で彼に会う。,I meet him at school now and then.,sound/私は時おり学校で彼に会う.ogg
尊い,とうとい,sound/尊い.ogg,,"cao cả, quý giá",愛より尊い物はない。,Nothing is as precious as love.,sound/愛より尊い物はない.ogg
相応しい,ふさわしい,sound/相応しい.ogg,,"thích hợp, xứng đáng",君にふさわしいはずはないのだから。,He couldn't be good for you.,sound/君にふさわしいはずはないのだから.ogg
ぶらぶら,ぶらぶら,sound/ぶらぶら.ogg,image/ぶらぶら.jpg,(thòng xuống) đong đưa,ちょっとその辺をブラブラしました。,I wandered around for a while.,sound/ちょっとその辺をブラブラしました.ogg
弁解,べんかい,sound/弁解.ogg,,"giải bày, biện hộ, giải biện",その失策には弁解の余地がない。,This fault admits of no excuse.,sound/その失策には弁解の余地がない.ogg
綻びる,ほころびる,sound/綻びる.ogg,,"hé mắt, hé nụ",彼女のドレスのへりはほころびていた。,The border of her dress was torn.,sound/彼女のドレスのへりはほころびていた.ogg
発作,ほっさ,sound/発作.ogg,image/発作.jpg,"phát tán, bộc phát",狭心症の発作が起きました。,I had an angina attack.,sound/狭心症の発作が起きました.ogg
紛れる,まぎれる,sound/紛れる.ogg,,"trộn lẫn, lẫn lộn",私の手紙は郵送中にどこかに紛れてしまったに違いない。,My letter must have gone astray in the mail.,sound/私の手紙は郵送中にどこかに紛れてしまったに違いない.ogg
うっかり,うっかり,sound/うっかり.ogg,,"đờ người ra, thờ người ra",うっかりそれを忘れるところだったわ。,I almost forgot all about that.,sound/うっかりそれを忘れるところだったわ.ogg
一斉に,いっせいに,sound/一斉に.ogg,,đồng loạt,人々が一斉に走り出した。,People started to run all at once.,sound/人々が一斉に走り出した.ogg
身の上,みのうえ,sound/身の上.ogg,,số phận,彼女は深呼吸してから、身の上を語り始めた。,She took a deep breath and then started to talk about herself.,sound/彼女は深呼吸してから、身の上を語り始めた.ogg
未練,みれん,sound/未練.ogg,image/未練.jpg,"nuối tiếc, thương tiếc, sầu muộn",彼女にはまだ未練がある。,I still have some feelings for her.,sound/彼女にはまだ未練がある.ogg
大柄,おおがら,sound/大柄.ogg,,dáng người to cao,ある研究によれば、大柄な女性は双子を生む傾向がより強い。,"According to a study, big women are more prone to have twins.",sound/ある研究によれば、大柄な女性は双子を生む傾向がより強い.ogg
小柄,こがら,sound/小柄.ogg,image/小柄.jpg,"dáng người thấp bé, nhỏ nhắn",彼らはその少女は小柄だと言った。,They described the girl as being small.,sound/彼らはその少女は小柄だと言った.ogg
平たい,ひらたい,sound/平たい.ogg,image/平たい.jpg,bằng phẳng,古代人たちは地球は平たいと信じていた。,The ancients believed the earth was flat.,sound/古代人たちは地球は平たいと信じていた.ogg
厳密,げんみつ,sound/厳密.ogg,image/厳密.jpg,"tuyệt mật, thật kín đáo",厳密な科学的観点からは、歴史は科学とはいえない。,"From a strictly scientific point of view, history cannot be called a science.",sound/厳密な科学的観点からは、歴史は科学とはいえない.ogg
交互,こうご,sound/交互.ogg,image/交互.jpg,thay phiên nhau,好況と不況は交互に来る。,Good times alternate with bad.,sound/好況と不況は交互に来る.ogg
快い,こころよい,sound/快い.ogg,,"sảng khoái, thoải mái",私は昨夜快く眠った。,I slept comfortably last night.,sound/私は昨夜快く眠った.ogg
長閑,のどか,sound/長閑.ogg,image/長閑.jpg,"yên bình, tĩnh lặng",こんなのどかな眺めは見たことがない。,Never have I seen such a peaceful scene.,sound/こんなのどかな眺めは見たことがない.ogg
