Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Mean Vietnamese,Example Sentence Mean English,Example Sentence Sound,Hanviet
デビュー,デビュー,[sound:デビュー.ogg],"<img src=""デビュー.jpg"">",lần trình diễn đầu tiên,その女優のデビューは８歳の時でした。,Nữ diễn viên đó đã ra mắt khi cô ấy 8 tuổi.,The actress made her debut when she was eight.,[sound:その女優のデビューは８歳の時でした.ogg],
不祥事,ふしょうじ,[sound:不祥事.ogg],,"chuyện bê bối, chuyện tai tiếng",相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている。,"Mặc dù có nhiều vụ bê bối liên tiếp, cảnh sát vẫn đang phát thẻ vi phạm viếng thăm.","Despite their own scandals, the police continue to make arrests as though nothing had happened at all.",[sound:相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている.ogg],BẤT TƯỜNG 
憚る,はばかる,[sound:憚る.ogg],,"do dự, lưỡng lự",憎まれっ子世に憚る。,Đứa trẻ ghét bị ghét.,Ill weeds grow apace.,[sound:憎まれっ子世に憚る.ogg],ĐẠN
傑作,けっさく,[sound:傑作.ogg],"<img src=""傑作.jpg"">",kiệt tác,わははは！そりゃ傑作だ！,Ha ha ha! Đó là một kiệt tác!,A-ha-ha-ha! What a blunder!,[sound:わははは！そりゃ傑作だ！.ogg], TÁC
断言,だんげん,[sound:断言.ogg],"<img src=""断言.jpg"">","nói quả quyết, khẳng định",私は彼が潔白だと断言した。,Tôi khẳng định rằng anh ấy vô tội.,I affirmed that he was innocent.,[sound:私は彼が潔白だと断言した.ogg],"ĐOẠN,ĐOÁN "
探検,たんけん,[sound:探検.ogg],"<img src=""探検.jpg"">",thám hiểm,この探検には、お金がかかる。,Việc khám phá này đòi hỏi tiền bạc.,This expedition will be expensive.,[sound:この探検には、お金がかかる.ogg],THÁM KIỂM
ばれる,バレル,[sound:ばれる.ogg],"<img src=""ばれる.jpg"">",bị bại lộ,中東の石油価格は１バレル当たり５ドルほど跳ね上がりました。,Giá dầu ở Trung Đông đã tăng khoảng 5 đô la mỗi thùng.,Middle Eastern oil prices jumped by five dollars per barrel.,[sound:中東の石油価格は１バレル当たり５ドルほど跳ね上がりました.ogg],
観察,かんさつ,[sound:観察.ogg],"<img src=""観察.jpg"">",quan sát,科学は観察に基づいている。,Khoa học dựa trên quan sát.,Science rests upon observation.,[sound:科学は観察に基づいている.ogg],QUAN SÁT
景品,けいひん,[sound:景品.ogg],"<img src=""景品.jpg"">",quà tặng,その雑誌の購読予約をして景品をもらった。,Tôi đã đặt trước việc đăng ký đọc tạp chí đó và nhận được quà tặng.,I got a premium for subscribing to the magazine.,[sound:その雑誌の購読予約をして景品をもらった.ogg],CẢNH 
産休,さんきゅう,[sound:産休.ogg],,nghỉ sinh,９月３０日から１０月１４日まで産休を取ります。,Tôi sẽ nghỉ thai sản từ ngày 30 tháng 9 đến ngày 14 tháng 10.,I'm taking maternity leave from Sep.30 to Oct.14.,[sound:９月３０日から１０月１４日まで産休を取ります.ogg],SẢN HƯU
代替,だいたい,[sound:代替.ogg],"<img src=""代替.jpg"">",thay thế,切符を申し込まれる際は代替日もご指定ください。,Vui lòng chỉ định ngày thay thế khi yêu cầu vé.,"When applying for tickets, please give alternative dates.",[sound:切符を申し込まれる際は代替日もご指定ください.ogg],ĐẠI THẾ
衝突,しょうとつ,[sound:衝突.ogg],"<img src=""衝突.jpg"">","đâm vào, đụng vào",日米の利害がこの点で衝突した。,Mối quan tâm và lợi ích của Nhật Bản và Mỹ đã xung đột ở điểm này.,Japanese and American interests clashed on this point.,[sound:日米の利害がこの点で衝突した.ogg],XUNG ĐỘT
直進,ちょくしん,[sound:直進.ogg],"<img src=""直進.jpg"">","trực tiến, đi thẳng",,,,,"TRỰC TIẾN,TẤN"
横転,おうてん,[sound:横転.ogg],"<img src=""横転.jpg"">","ngã lộn nhào, té lộn nhào",「ところでよ、そのおめーのおとうさんはどこにいんのさ？」「横転したトラックの下なんよ。」,"""Nhân tiện nói, bố cậu đang ở đâu vậy?"" - ""Dưới dưới cái xe tải lật kia.""","""By the way, where's your old man?"" ""Under that over-turned truck.""",[sound:「ところでよ、そのおめーのおとうさんはどこにいんのさ？」「横転したトラックの下なんよ」.ogg],HOÀNH CHUYỂN
左折,させつ,[sound:左折.ogg],"<img src=""左折.jpg"">",quẹo trái,自動車は左折した。,Xe ô tô rẽ trái.,The car made a turn to the left.,[sound:自動車は左折した.ogg],TẢ TRIẾT
右折,うせつ,[sound:右折.ogg],"<img src=""右折.jpg"">",quẹo phải,右折しなさい、そうすれば私の事務所が見つかります。,"Hãy rẽ phải, làm vậy bạn sẽ tìm thấy văn phòng của tôi.","Turn to the right, and you'll find my office.",[sound:右折しなさい、そうすれば私の事務所が見つかります.ogg],HỮU TRIẾT
パトカー,パトカー,[sound:パトカー.ogg],"<img src=""パトカー.jpg"">",xe cảnh sát,パトカーを見て彼は逃げた。,Anh ta chạy trốn khi thấy xe cảnh sát.,He saw the police car and ran away.,[sound:パトカーを見て彼は逃げた.ogg],
打撲,だぼく,[sound:打撲.ogg],,"ẩu đả, đánh nhau",,,,,"ĐẢ PHÁC,BẠC"
軽傷,けいしょう,[sound:軽傷.ogg],"<img src=""軽傷.jpg"">",vết thương nhẹ,彼は交通事故で軽傷を負った。,Anh ta bị thương nhẹ trong tai nạn giao thông.,He was slightly injured in a traffic accident.,[sound:彼は交通事故で軽傷を負った.ogg],KHINH THƯƠNG
重体,じゅうたい,[sound:重体.ogg],"<img src=""重体.jpg"">","nghiêm trọng, bị thương nặng",その患者は重態だ。,Bệnh nhân đó đang trong tình trạng nặng.,The patient is in critical condition.,[sound:その患者は重態だ.ogg],"TRỌNG,TRÙNG THỂ"
目撃,もくげき,[sound:目撃.ogg],"<img src=""目撃.jpg"">","mục thị, chứng kiến",彼らはこの事件を目撃したことを報告した。,Họ đã báo cáo rằng họ đã chứng kiến ​​sự việc này.,They reported seeing the incident.,[sound:彼らはこの事件を目撃したことを報告した.ogg],MỤC KÍCH
細部,さいぶ,[sound:細部.ogg],"<img src=""細部.jpg"">",phần chi tiết,今後どんな細部にも注意を払いなさいよ。,Hãy chú ý đến từng chi tiết trong tương lai nhé.,You must pay attention to every minute detail from now on.,[sound:今後どんな細部にも注意を払いなさいよ.ogg], BỘ
刃物,はもの,[sound:刃物.ogg],"<img src=""刃物.jpg"">","đồ nhọn sắc bén, dao",そのように刃物を振り回すことは危険だ。,Việc vung dao như vậy là nguy hiểm.,It is dangerous to wield an edged tool in such a way.,[sound:そのように刃物を振り回すことは危険だ.ogg],NHẬN VẬT
押し入る,おしいる,[sound:押し入る.ogg],"<img src=""押し入る.jpg"">","đút vào, ấn vào",賊が彼の家に押し入った。,Kẻ trộm xâm nhập vào nhà anh ta.,Burglars broke into his house.,[sound:賊が彼の家に押し入った.ogg],ÁP NHẬP
脅す,おどす,[sound:脅す.ogg],"<img src=""脅す.jpg"">",đe dọa,彼はそれを公表すると脅した。,Anh ta đã đe dọa rằng sẽ công bố điều đó.,He threatened to make it public.,[sound:彼はそれを公表すると脅した.ogg],HIẾP
犯行,はんこう,[sound:犯行.ogg],"<img src=""犯行.jpg"">",hành vi phạm tội,彼は犯行に及んだと信じられていた。,Người ta tin rằng anh ta đã phạm tội.,He was believed to have committed the crime.,[sound:彼は犯行に及んだと信じられていた.ogg],PHẠM HÀNH
駆けつける,かけつける,[sound:駆けつける.ogg],,"chạy nhào tới, chạy nhanh tới",彼女は急いで彼の病床へ駆けつけた。,Cô ấy vội chạy đến giường bệnh của anh ta.,She came hurrying to his bedside.,[sound:彼女は急いで彼の病床へ駆けつけた.ogg],KHU
スリル,スリル,[sound:スリル.ogg],"<img src=""スリル.jpg"">","run sợ, kinh sợ, kinh hoàng",とてもスリルがあって面白かったです。,Nó rất hồi hộp và thú vị.,It was so thrilling and real fun.,[sound:とてもスリルがあって面白かったです.ogg],
取り押さえる,とりおさえる,[sound:取り押さえる.ogg],,"tóm được, túm bắt",警官はその泥棒を取り押さえた。,Cảnh sát bắt giữ tên trộm đó.,The policeman caught the thief.,[sound:警官はその泥棒を取り押さえた.ogg],THỦ ÁP
供述,きょうじゅつ,[sound:供述.ogg],,khai (sự thật),彼の供述の真実性は疑わしいと思う。,Tôi nghĩ tính chân thực của lời khai của anh ta là đáng ngờ.,I doubt the veracity of his statement.,[sound:彼の供述の真実性は疑わしいと思う.ogg],CUNG THUẬT
仰ぐ,あおぐ,[sound:仰ぐ.ogg],"<img src=""仰ぐ.jpg"">","ngước lên, ngước nhìn",彼は天を仰いだ。,Anh ta ngước lên trời.,He looked up at the sky.,[sound:彼は天を仰いだ.ogg],NGƯỠNG
円ら,つぶら,[sound:円ら.ogg],"<img src=""円ら.jpg"">",tròn xoe,,,,,VIÊN
手際,てぎわ,[sound:手際.ogg],,"kỹ năng, tay nghề",,,,,THỦ TẾ
時折,ときおり,[sound:時折.ogg],"<img src=""時折.jpg"">",thỉnh thoảng,私は時おり学校で彼に会う。,Thỉnh thoảng tôi gặp anh ta ở trường.,I meet him at school now and then.,[sound:私は時おり学校で彼に会う.ogg],"THỜI,THÌ TRIẾT"
尊い,とうとい,[sound:尊い.ogg],,"cao cả, quý giá",愛より尊い物はない。,Không có gì quý giá hơn tình yêu.,Nothing is as precious as love.,[sound:愛より尊い物はない.ogg],TÔN
相応しい,ふさわしい,[sound:相応しい.ogg],,"thích hợp, xứng đáng",君にふさわしいはずはないのだから。,Vì không phải là điều đáng có với bạn.,He couldn't be good for you.,[sound:君にふさわしいはずはないのだから.ogg],"TƯƠNG,TƯỚNG "
ぶらぶら,ぶらぶら,[sound:ぶらぶら.ogg],"<img src=""ぶらぶら.jpg"">",(thòng xuống) đong đưa,ちょっとその辺をブラブラしました。,Tôi đi dạo xung quanh khu vực đó một chút.,I wandered around for a while.,[sound:ちょっとその辺をブラブラしました.ogg],
弁解,べんかい,[sound:弁解.ogg],,"giải bày, biện hộ, giải biện",その失策には弁解の余地がない。,Không có chỗ cho lời biện hộ về sai lầm đó.,This fault admits of no excuse.,[sound:その失策には弁解の余地がない.ogg],"BIỆN,BIỀN GIẢI"
綻びる,ほころびる,[sound:綻びる.ogg],,"hé mắt, hé nụ",彼女のドレスのへりはほころびていた。,Viền của chiếc váy cô ấy đã rách.,The border of her dress was torn.,[sound:彼女のドレスのへりはほころびていた.ogg],
発作,ほっさ,[sound:発作.ogg],"<img src=""発作.jpg"">","phát tán, bộc phát",狭心症の発作が起きました。,Anh ta bị cơn suy tim.,I had an angina attack.,[sound:狭心症の発作が起きました.ogg],PHÁT TÁC
紛れる,まぎれる,[sound:紛れる.ogg],,"trộn lẫn, lẫn lộn",私の手紙は郵送中にどこかに紛れてしまったに違いない。,Thư của tôi chắc chắn đã bị lạc đâu đó trong quá trình gửi.,My letter must have gone astray in the mail.,[sound:私の手紙は郵送中にどこかに紛れてしまったに違いない.ogg],PHÂN
うっかり,うっかり,[sound:うっかり.ogg],,"đờ người ra, thờ người ra",うっかりそれを忘れるところだったわ。,Tôi hầu như đã quên nó mất rồi.,I almost forgot all about that.,[sound:うっかりそれを忘れるところだったわ.ogg],
一斉に,いっせいに,[sound:一斉に.ogg],,đồng loạt,人々が一斉に走り出した。,Mọi người bắt đầu chạy cùng một lúc.,People started to run all at once.,[sound:人々が一斉に走り出した.ogg],NHẤT 
身の上,みのうえ,[sound:身の上.ogg],,số phận,彼女は深呼吸してから、身の上を語り始めた。,"Sau khi thở sâu, cô ấy bắt đầu kể về cuộc đời mình.",She took a deep breath and then started to talk about herself.,[sound:彼女は深呼吸してから、身の上を語り始めた.ogg],THÂN THƯỢNG
未練,みれん,[sound:未練.ogg],"<img src=""未練.jpg"">","nuối tiếc, thương tiếc, sầu muộn",彼女にはまだ未練がある。,Cô ấy vẫn còn nuối tiếc.,I still have some feelings for her.,[sound:彼女にはまだ未練がある.ogg],"VỊ,MÙI LUYỆN"
大柄,おおがら,[sound:大柄.ogg],,dáng người to cao,ある研究によれば、大柄な女性は双子を生む傾向がより強い。,"Theo một nghiên cứu, phụ nữ cao lớn có xu hướng sinh đôi mạnh mẽ hơn.","According to a study, big women are more prone to have twins.",[sound:ある研究によれば、大柄な女性は双子を生む傾向がより強い.ogg],ĐẠI BÍNH
小柄,こがら,[sound:小柄.ogg],"<img src=""小柄.jpg"">","dáng người thấp bé, nhỏ nhắn",彼らはその少女は小柄だと言った。,Họ nói rằng cô gái đó nhỏ nhắn.,They described the girl as being small.,[sound:彼らはその少女は小柄だと言った.ogg],TIỂU BÍNH
平たい,ひらたい,[sound:平たい.ogg],"<img src=""平たい.jpg"">",bằng phẳng,古代人たちは地球は平たいと信じていた。,Người cổ đại tin rằng Trái đất là phẳng.,The ancients believed the earth was flat.,[sound:古代人たちは地球は平たいと信じていた.ogg],BÌNH
厳密,げんみつ,[sound:厳密.ogg],"<img src=""厳密.jpg"">","tuyệt mật, thật kín đáo",厳密な科学的観点からは、歴史は科学とはいえない。,"Từ quan điểm khoa học chính xác, lịch sử không được coi là khoa học.","From a strictly scientific point of view, history cannot be called a science.",[sound:厳密な科学的観点からは、歴史は科学とはいえない.ogg],NGHIÊM MẬT
交互,こうご,[sound:交互.ogg],"<img src=""交互.jpg"">",thay phiên nhau,好況と不況は交互に来る。,Thịnh vượng và suy thoái đến xen kẽ nhau.,Good times alternate with bad.,[sound:好況と不況は交互に来る.ogg],GIAO 
快い,こころよい,[sound:快い.ogg],,"sảng khoái, thoải mái",私は昨夜快く眠った。,Tôi đã ngủ ngon lành đêm qua.,I slept comfortably last night.,[sound:私は昨夜快く眠った.ogg],KHOÁI
長閑,のどか,[sound:長閑.ogg],"<img src=""長閑.jpg"">","yên bình, tĩnh lặng",こんなのどかな眺めは見たことがない。,Tôi chưa từng thấy cảnh như thế này yên bình trước đây.,Never have I seen such a peaceful scene.,[sound:こんなのどかな眺めは見たことがない.ogg],TRƯỜNG 
創業,そうぎょう,[sound:創業.ogg],"<img src=""創業.jpg"">","thành lập, khởi nghiệp",,,,,SÁNG 
志す,こころざす,[sound:志す.ogg],"<img src=""志す.jpg"">","hướng tới, có ý định làm, muốn đạt được",このコーヒー店には芸術家を志すものが足しげく通う。,Nhiều người có khát vọng trở thành nghệ sĩ thường xuyên đến quán cà phê này.,This coffee shop is frequented by aspiring artists.,[sound:このコーヒー店には芸術家を志すものが足しげく通う.ogg],CHÍ
志,こころざし,[sound:志.ogg],"<img src=""志.jpg"">","ý định, chí hướng",何事をするにも志が大切。,Đam mê là quan trọng trong mọi việc.,The will is as good as the deed.,[sound:何事をするにも志が大切.ogg],CHÍ
累進,るいしん,[sound:累進.ogg],,"thăng tiến, (sự nghiệp) thành công",,,,,"TIẾN,TẤN"
イマイチ,イマイチ,[sound:イマイチ.ogg],,"dở, kém, thiếu thiếu gì đấy",いまいち東芝は信用できない。,Tôi không tin tưởng lắm vào Toshiba.,I can't really trust Toshiba.,[sound:いまいち東芝は信用できない.ogg],
視聴率,しちょうりつ,[sound:視聴率.ogg],,tỉ lệ người xem,,,,,THỊ THÍNH XUẤT
鋭い,するどい,[sound:鋭い.ogg],"<img src=""鋭い.jpg"">","nhạy bén, sắc sảo",ここに鋭い痛みがあります。,Tôi cảm thấy đau nhói sắc bén ở đây.,I have a sharp pain here.,[sound:ここに鋭い痛みがあります.ogg],"NHUỆ,DUỆ"
ミステリアス,ミステリアス,[sound:ミステリアス.ogg],"<img src=""ミステリアス.jpg"">",huyền bí,,,,,
穴場,あなば,[sound:穴場.ogg],"<img src=""穴場.jpg"">",địa điểm hay nhưng ít được biết đến,この温泉は穴場だね。,Suối nước nóng này thực sự là một điểm đến tốt.,This hot spring is a great find.,[sound:この温泉は穴場だね.ogg],HUYỆT TRƯỜNG
損壊,そんかい,[sound:損壊.ogg],"<img src=""損壊.jpg"">",tổn hại,,,,,TỔN HOẠI
心境,しんきょう,[sound:心境.ogg],"<img src=""心境.jpg"">",tâm trạng,いやあ面目ない。穴があったら入りたい心境だよ。,Thật là xấu hổ. Muốn có một lỗ để có thể trốn vào trong đó.,I'm so sorry about what I did. I wish I could just crawl into a hole and die.,[sound:いやあ面目ない穴があったら入りたい心境だよ.ogg],TÂM 
鈍感,どんかん,[sound:鈍感.ogg],,không nhạy bén,概してエリート達は批判に対して鈍感である。,"Nói chung, những người ưu tú thường không nhạy cảm với sự phê phán.","On the whole, the elite are not sensitive to criticism.",[sound:概してエリート達は批判に対して鈍感である.ogg], CẢM
参道,さんどう,[sound:参道.ogg],"<img src=""参道.jpg"">",đường dành riêng cho người đi bộ,,,,,"THAM,SÂM ĐẠO"
殺到,さっとう,[sound:殺到.ogg],"<img src=""殺到.jpg"">",dồn ép,その本の注文が殺到した。,Sách đó nhận được rất nhiều đơn hàng.,Orders for the book poured in.,[sound:その本の注文が殺到した.ogg],SÁT ĐÁO
バタバタ,バタバタ,[sound:バタバタ.ogg],"<img src=""バタバタ.jpg"">","phành phạch, tất bật",朝からのバタバタで忘れかけていたけど、まだ部員問題も残ってるんだろう？,"Vì tất bật từ sáng nên tôi đã quên, nhưng vấn đề thành viên vẫn còn lại phải không?",With all the kerfuffle since this morning I'd almost forgotten but we've still got the problem of the club members haven't we?,[sound:朝からのバタバタで忘れかけていたけど、まだ部員問題も残ってるんだろう？.ogg],
税務署,ぜいむしょ,[sound:税務署.ogg],"<img src=""税務署.jpg"">",sở thuế vụ,税務署は控除を認めた。,Cục Thuế đã chấp nhận việc khấu trừ.,The tax agent allowed the deduction.,[sound:税務署は控除を認めた.ogg],THUẾ VỤ 
脱税,だつぜい,[sound:脱税.ogg],"<img src=""脱税.jpg"">",sự trốn thuế,ジャックは脱税しようとした。,Jack đã cố gắng trốn thuế.,Jack tried to evade paying his taxes.,[sound:ジャックは脱税しようとした.ogg],THOÁT THUẾ
始末,しまつ,[sound:始末.ogg],"<img src=""始末.jpg"">","don dẹp, xử lý",世界からは【麻疹輸出国】と嫌味とも本音ともとれることをいわれている始末。,"Anh ta bị xem là ""quốc gia xuất khẩu bệnh sởi"" từ khắp nơi trên thế giới, điều đó có thể được hiểu là sự châm chọc hoặc thật lòng.","Ending up with being called a ""measles exporting country"" by the rest of the world, something that you could take as insult or truth.",[sound:世界からは【麻疹輸出国】と嫌味とも本音ともとれることをいわれている始末.ogg],THỦY MẠT
バケツ,バケツ,[sound:バケツ.ogg],"<img src=""バケツ.jpg"">","cái xô, thùng (đựng nước)",このバケツには穴が開いている。,Chiếc xô này có lỗ.,There's a hole in this bucket.,[sound:このバケツには穴が開いている.ogg],
誤認,ごにん,[sound:誤認.ogg],,ngộ nhận,科学者の通弊は、あらゆる問題に技術的解決策があると誤認すること。,Một sai lầm của các nhà khoa học là cho rằng có giải pháp kỹ thuật cho mọi vấn đề.,A fault common to scientists is mistakenly believing that every problem has a technical solution.,[sound:科学者の通弊は、あらゆる問題に技術的解決策があると誤認すること.ogg], 
ずぶ,ずぶ,[sound:ずぶ.ogg],"<img src=""ずぶ.jpg"">","tất cả, toàn bộ",,,,,
顧みる,かえりみる,[sound:顧みる.ogg],,suy nghĩ chuyện đã qua,彼女は費用を顧みず家を飾りたてた。,Cô ấy đã trang trí nhà mà không quan tâm đến chi phí.,She decorated her house regardless of cost.,[sound:彼女は費用を顧みず家を飾りたてた.ogg],CỐ
コスプレ,コスプレ,[sound:コスプレ.ogg],"<img src=""コスプレ.jpg"">","hóa trang thành nhân vật truyện tranh, anime",,,,,
聖地,せいち,[sound:聖地.ogg],"<img src=""聖地.jpg"">",thánh địa,手始めは、三大宗教の聖地、エルサレムを訪れることだった。,Bắt đầu bằng việc thăm thành phố thánh Jerusalem của ba tôn giáo lớn.,"For a start, I visited Jerusalem - a sacred place for three major religions.",[sound:手始めは、三大宗教の聖地、エルサレムを訪れることだった.ogg],THÁNH 
弾む,はずむ,[sound:弾む.ogg],"<img src=""弾む.jpg"">","dội lại, đàn hồi",ボールははずんで塀を飛び越えた。,Quả bóng đã nảy và vượt qua hàng rào.,The ball bounced over the wall.,[sound:ボールははずんで塀を飛び越えた.ogg],"ĐÀN,ĐẠN"
腰痛,ようつう,[sound:腰痛.ogg],"<img src=""腰痛.jpg"">",đau thắt lưng,腰痛がひどいんです。,Tôi đau lưng rất nặng.,I have a bad pain in my lower back.,[sound:腰痛がひどいんです.ogg],YÊU THỐNG
異物,いぶつ,[sound:異物.ogg],"<img src=""異物.jpg"">",vật lạ,,,,,DỊ VẬT
混入,こんにゅう,[sound:混入.ogg],"<img src=""混入.jpg"">",trộn vào,,,,,HỖN NHẬP
怠慢,たいまん,[sound:怠慢.ogg],"<img src=""怠慢.jpg"">",lười biếng,彼は義務怠慢で非難された。,Anh ta bị chỉ trích vì làm lơ trách nhiệm.,He was blamed for neglect of duty.,[sound:彼は義務怠慢で非難された.ogg], MẠN
怠る,おこたる,[sound:怠る.ogg],,làm biếng,あなたは「ありがとう」と言うことを怠った。,"Bạn đã bỏ lỡ việc nói ""cảm ơn"".","You neglected to say ""Thank you.""",[sound:あなたは「ありがとう」と言うことを怠った.ogg],
解雇,かいこ,[sound:解雇.ogg],"<img src=""解雇.jpg"">","đuổi việc, sa thải",いきなり解雇を言い渡された。,Tôi bị sa thải đột ngột.,I was discharged without notice.,[sound:いきなり解雇を言い渡された.ogg],GIẢI CỐ
独裁的,どくさいてき,[sound:独裁的.ogg],"<img src=""独裁的.jpg"">",tính độc tài,人権擁護団体は独裁的な政府に圧力をかけています。,Tổ chức bảo vệ nhân quyền đang đặt áp lực lên chính phủ độc đáo.,Human rights groups are putting pressure on authoritarian governments.,[sound:人権擁護団体は独裁的な政府に圧力をかけています.ogg],ĐỘC TÀI ĐÍCH
ぎっくり腰,ぎっくりごし,[sound:ぎっくり腰.ogg],,cụp xương sống,ぎっくり腰なんです。,Tôi bị đau lưng cứng.,I have a strained back.,[sound:ぎっくり腰なんです.ogg],YÊU
搬送,はんそう,[sound:搬送.ogg],"<img src=""搬送.jpg"">",chuyên chở,光ファイバーケーブルは膨大な量の情報を搬送できる。,Cáp quang có thể truyền tải một lượng thông tin khổng lồ.,Fibre-optic cables can carry huge amounts of information.,[sound:光ファイバーケーブルは膨大な量の情報を搬送できる.ogg],"BAN,BÀN TỐNG"
アルコール中毒,アルコールちゅうどく,[sound:アルコール中毒.ogg],"<img src=""アルコール中毒.jpg"">",ngộ độc rượu,彼女はアルコール中毒だ。,Cô ấy là người nghiện rượu.,She is addicted to alcohol.,[sound:彼女はアルコール中毒だ.ogg],TRUNG ĐỘC
仮眠,かみん,[sound:仮眠.ogg],"<img src=""仮眠.jpg"">",ngủ 1 giấc ngắn,少し仮眠をとるといいですよ。,Bạn nên nghỉ ngơi một chút.,A few hours nap will do you good.,[sound:少し仮眠をとるといいですよ.ogg],GIẢ MIÊN
異変,いへん,[sound:異変.ogg],"<img src=""異変.jpg"">",bất thường,,,,,DỊ BIẾN
察する,さっする,[sound:察する.ogg],,phán đoán,この手紙から察すると彼は立腹しているようだ。,"Từ lá thư này, có vẻ như anh ấy đang tức giận.",I gathered from this letter that he was angry.,[sound:この手紙から察すると彼は立腹しているようだ.ogg],SÁT
弾力,だんりょく,[sound:弾力.ogg],"<img src=""弾力.jpg"">",lực đàn hồi,,,,,"ĐÀN,ĐẠN LỰC"
しなやか,しなやか,[sound:しなやか.ogg],"<img src=""しなやか.jpg"">","dẻo, dẻo dai",,,,,
使命,しめい,[sound:使命.ogg],"<img src=""使命.jpg"">",sứ mệnh,彼らは使命を果たした。,Họ đã hoàn thành nhiệm vụ.,They accomplished their mission.,[sound:彼らは使命を果たした.ogg], MỆNH
辛抱,しんぼう,[sound:辛抱.ogg],"<img src=""辛抱.jpg"">",nhẫn nại,他人には辛抱するようにしなさい。,Hãy kiên nhẫn với người khác.,Try to be patient with others.,[sound:他人には辛抱するようにしなさい.ogg],TÂN BÃO
掬う,すくう,[sound:掬う.ogg],"<img src=""掬う.jpg"">","hốt 1 nhúm, 1 ít (bột, chất lỏng)",,,,,
